Number,Artist,Song Name,Track ID,Genre
33,Lil Wayne,I Do It,191898015.0,Hip-Hop/Rap
28,Shawn Mendes,Señorita,174390482.0,Latin
03,Post Malone,Circles,181998466.0,Pop
95,Garth Brooks,Dive Bar (feat. Blake Shelton),,Unknown
13,DaBaby,BOP,229262598.0,Hip-Hop/Rap
65,Jimmie Allen,Make Me Want To,233307345.0,Country / Traditional Country
25,Billie Eilish,bad guy,164504273.0,Electronic
37,Jonas Brothers,Only Human,172620225.0,Pop
60,Dua Lipa,Physical,194285001.0,Rock
50,Taylor Swift,Only The Young (Featured in Miss Americana),191887967.0,Electronic
30,Halsey,You should be sad,228753108.0,Pop
68,Riley Green,I Wish Grandpas Never Died,184017743.0,Country / Traditional Country
71,Ingrid Andress,More Hearts Than Mine,194295508.0,Country
78,Don Toliver,No Idea,193994229.0,Hip Hop/Rap / Rap
16,Lizzo,Good as Hell,193692162.0,Christian & Gospel / Gospel
64,Luke Bryan,What She Wants Tonight,192324189.0,Country / Traditional Country
52,Russ,BEST ON EARTH (Bonus),189822194.0,R&B/Soul / Contemporary R&B
07,Arizona Zervas,ROXANNE,192322266.0,Hip-Hop/Rap
57,JACKBOYS,OUT WEST,190255732.0,Hip Hop/Rap / Rap
82,MAC MILLER,Good News,190434329.0,Hip-Hop/Rap
58,DaBaby,TOES,229262632.0,Hip Hop/Rap / Rap
11,Selena Gomez,Lose You To Love Me,186448267.0,Pop
15,The Weeknd,Blinding Lights,194169151.0,Electronic
17,The Weeknd,Heartless,194169149.0,R&B/Soul / Contemporary R&B
14,Justin Bieber,Yummy,192200300.0,Pop
51,Kane Brown,Homesick,160557125.0,Country / Traditional Country
91,Summer Walker,Come Thru,185404286.0,R&B/Soul / Contemporary R&B
12,Mustard,Ballin’,,Unknown
05,Lewis Capaldi,Someone You Loved,170306150.0,Alternative
81,Jake Owen,Homemade,166856887.0,Country
70,Lil Uzi Vert,Futsal Shuffle 2020,193720580.0,Hip-Hop/Rap
100,Baby Keem,ORANGE SODA,177668719.0,Hip Hop/Rap / Hip-Hop
35,Lizzo,Truth Hurts,193692160.0,Pop
62,Blake Shelton,Nobody But You (Duet with Gwen Stefani),189638671.0,Country
48,Jon Pardi,Heartache Medication,174824789.0,Country / Traditional Country
47,Young Thug,Hot (feat. Gunna),189985497.0,Hip Hop/Rap / Rap
55,Rod Wave,Heart On Ice,174075100.0,Hip-Hop/Rap
20,Eminem,Godzilla (feat. Juice WRLD),190591517.0,Hip-Hop/Rap
96,DaniLeigh,Easy,171752417.0,Hip-Hop/Rap
56,Demi Lovato,Anyone,226942582.0,Pop
88,Lil Wayne,Funeral,191898012.0,Hip-Hop/Rap
46,Lil Baby,Sum 2 Prove,193127136.0,Hip-Hop/Rap
26,Travis Scott,HIGHEST IN THE ROOM,185417750.0,Hip-Hop/Rap
38,Jonas Brothers,Sucker,190060335.0,Pop
09,Dua Lipa,Don't Start Now,203501438.0,Rock
34,Sam Hunt,Kinfolks,194170329.0,Pop / Pop/Rock
97,Selena Gomez,Rare,190429861.0,Electronic
31,Camila Cabello,My Oh My,188636370.0,Dance
42,Karol G,Tusa,187052734.0,Latin / Latin Urban
21,Roddy Ricch,High Fashion (feat. Mustard),189258313.0,Hip-Hop/Rap
61,Lil Wayne,Mahogany,191898013.0,Hip-Hop/Rap
94,Brett Young,Catch (The Acoustic Sessions),175720826.0,Country
22,Chris Brown,No Guidance,175011793.0,R&B/Soul
67,Doja Cat,Say So,186986209.0,Hip Hop/Rap / Alternative Rap
05,Tones and I,Dance Monkey,219330772.0,Electronic
73,Meek Mill,Letter To Nipsey (feat. Roddy Ricch),191634756.0,Hip-Hop/Rap
84,Bad Bunny,Vete,193579427.0,Latin
43,Luke Combs,Even Though I'm Leaving,187144471.0,Country
63,DaBaby,VIBEZ,229262606.0,Hip-Hop/Rap
08,Dan + Shay,"10,000 Hours",,Unknown
29,Jonas Brothers,What a Man Gotta Do,254346207.0,Pop
45,Juice Wrld,Bandit,185404005.0,Hip-Hop/Rap
40,Ed Sheeran,I Don't Care,229573276.0,Pop
75,Diplo,Heartless (feat. Morgan Wallen),196287636.0,Pop
93,Justin Bieber,Get Me (feat. Kehlani),192200306.0,Pop
10,Billie Eilish,everything i wanted,187632922.0,Pop
23,Harry Styles,Adore You,189626477.0,Pop
89,Meghan Trainor,Nice To Meet Ya (Feat. Nicki Minaj),191774077.0,Rock
36,Old Dominion,One Man Band,181429879.0,Country / Traditional Country
27,Harry Styles,Falling,189626484.0,Pop
59,Megan Thee Stallion,B.I.T.C.H.,193718403.0,Hip-Hop/Rap
32,Shaed,Trampoline,184924898.0,Rock
01,Roddy Ricch,The Box,189258304.0,Hip-Hop/Rap
19,Blackbear,hot girl bummer,200187686.0,Hip Hop/Rap / Alternative Rap
87,Lil Wayne,Mama Mia,191898014.0,Hip-Hop/Rap
76,Carly Pearce,I Hope You’re Happy Now,185112973.0,Country
74,BROCKHAMPTON,SUGAR,180840954.0,R&B/Soul / Contemporary R&B
41,Doja Cat,Juicy,180056800.0,R&B/Soul
98,Moneybagg Yo,U Played (feat. Lil Baby),190436047.0,Hip-Hop/Rap
44,The Black Eyed Peas,RITMO (Bad Boys For Life),185629225.0,Latin / Pop in Spanish
39,YNW Melly,Suicidal,193994706.0,Hip-Hop/Rap
99,NLE Choppa,Camelot,201226465.0,Hip-Hop/Rap
80,YoungBoy Never Broke Again,Make No Sense,185635824.0,Hip-Hop/Rap
92,Tory Lanez & T-Pain,Jerry Sprunger,187038717.0,Hip-Hop/Rap
54,H.E.R.,Slide,184981230.0,R&B/Soul
66,Jhené Aiko,P_$$Y Fairy (OTW),190791330.0,R&B/Soul
04,Maroon 5,Memories,215937735.0,Rock / Roots Rock
72,Jason Aldean,We Back,182936094.0,Country
90,Jordan Davis,Slow Dance In A Parking Lot,145302670.0,Country / Contemporary Country
18,Maren Morris,The Bones,166214236.0,Country / Contemporary Country
77,Dustin Lynch,Ridin' Roads,189822555.0,Country / Contemporary Country
69,A Boogie Wit da Hoodie,King Of My City,192319496.0,Hip-Hop/Rap
85,Morgan Wallen,Chasin' You,148793484.0,Country / Contemporary Country
49,Ed Sheeran,South of the Border (feat. Camila Cabello & Cardi B),180833756.0,Pop
24,Lil Baby,Woah,187270402.0,Hip-Hop/Rap
53,Gabby Barrett,I Hope,196390522.0,Country / Contemporary Country
79,Lewis Capaldi,Before You Go (Piano Version),189977061.0,Alternative
86,Kelsea Ballerini,homecoming queen_,192667679.0,Country / Contemporary Country
02,Future,Life Is Good,190435729.0,Hip Hop/Rap / Dirty South
83,Roddy Ricch,Start Wit Me (feat. Gunna),189258305.0,Hip-Hop/Rap
